Comienca comienca RG 0.952324
parte parte NCFS000 0.467611
. . Fp 1

Et et CC 1
ally allí RG 1
fue ser VSIS3S0 0.93672
muy muy RG 1
grande grande AQ0CS0 0.994186
la el DA0FS0 0.897854
pelea pelea NCFS000 0.913043
, , Fc 1
en en SPS00 1
manera manera NCFS000 1
que que PR0CN000 0.648953
vinieron venir VMIS3P0 1
los el DA0MP0 0.964169
Griegos griego AQ0MP0 0.954545
a a SPS00 0.956937
punto punto NCMS000 1
de de SPS00 0.999758
foyr huir VMN0000 1
, , Fc 1
mas más RG 0.654277
torno tornar VMIP1S0 0.474178
Alixandre alejandro NP000P0 1
a a SPS00 0.956937
efforçar efforçar VMN0000 1
los el DA0MP0 0.964169
suyos suyo PX3MP000 1
, , Fc 1
diziendo decir VMG0000 1
: : Fd 1
do donde PR000000 0.984536
sodes ser VSIP2P0 1
los el DA0MP0 0.964169
vençedores vencedor NCMP000 0.569352
del del_de+del_el SP+DA 0.5
mundo mundo NCMS000 1
, , Fc 1
agora ahora RG 1
queredes querer VMIP2P0 1
falleçer fallecer VMN0000 1
? ? Fit 1
Tornad tornar VMM02P0 1
, , Fc 1
que que CS 0.351047
non no RN 0.99968
son ser VSIP3P0 0.987239
nada nada PI0CS000 0.896296
! ! Fat 1
E e CC 1
fueron ser VSIS3P0 0.938596
dar dar VMN0000 1
en en SPS00 1
ellos ellos PP3MP000 1
muy muy RG 1
brauamente brauamente RG 0.5
, , Fc 1
e e CC 1
todos todo PI0MP000 0.230392
con con SPS00 1
el el DA0MS0 0.880831
de de SPS00 0.999758
un uno DI0MS0 0.930636
coraçon corazón NCMS000 1
vençieronlos vencer+lo VMIS3P0+PP3MPA00 1
e e CC 1
mataronlos matar+lo VMIS3P0+PP3MPA00 1
. . Fp 1

Et et CC 1
alli allí RG 1
començaron comenzar VMIS3P0 1
todos todo DI0MP0 0.769608
los el DA0MP0 0.964169
de de SPS00 0.999758
Alixandre alejandro NP000P0 1
a a SPS00 0.956937
pasar pasar VMN0000 1
. . Fp 1

E e CC 1
tan tan RG 1
grande grande AQ0CS0 0.994186
fue ser VSIS3S0 0.93672
la el DA0FS0 0.897854
pelea pelea NCFS000 0.913043
que que PR0CN000 0.648953
començaron comenzar VMIS3P0 1
todos todo DI0MP0 0.769608
los el DA0MP0 0.964169
yndios indio NCMP000 0.632843
a a SPS00 0.956937
foyr huir VMN0000 1
, , Fc 1
e e CC 1
desanpararon desamparar VMIS3P0 1
a a SPS00 0.956937
Poro poro NCMS000 0.300563
. . Fp 1

E e CC 1
quando cuándo PT000000 1
llegaron llegar VMIS3P0 1
e e CC 1
el él PP3MS000 0.119169
, , Fc 1
firieronlo herir+lo VMIS3P0+PP3CNa00 0.5 herir+lo VMIS3P0+PP3MSa00 0.5
de de SPS00 0.999758
nueue 9 Z 0.466722
golpes golpe NCMP000 1
, , Fc 1
ca ca CS 0.982082
los el DA0MP0 0.964169
elefantes elefante NCMP000 1
non no RN 0.99968
podian poder VMII3P0 1
tanto tanto RG 0.873267
andar andar VMN0000 0.916667
como como CS 0.953008
los el DA0MP0 0.964169
caualleros caballero NCMP000 0.954545
, , Fc 1
e e CC 1
los el DA0MP0 0.964169
Griegos griego AQ0MP0 0.954545
leuavan levar VMII3P0 1
dejarretaderas dejarretaderas AQ0FP00 1
, , Fc 1
e e CC 1
dejarretauanlos dejarretar+lo VMII3P0+PP3MPA00 1
, , Fc 1
asi así RG 1
que que CS 0.351047
dejarretaron dejarretaron VMIS3P0 1
el el DA0MS0 0.880831
elefante elefante NCMS000 1
de de SPS00 0.999758
Poro poro NCMS000 0.300563
, , Fc 1
e e CC 1
el él PP3MS000 0.119169
apeose apear+se VMIP1S0+PP3CN000 0.616647
, , Fc 1
e e CC 1
quando cuándo PT000000 1
llego llegar VMIS3S0 0.630003
a a SPS00 0.956937
el el DA0MS0 0.880831
Alixandre alejandro NP000P0 1
, , Fc 1
quisole querer+le VMIS3S0+PP3CSD00 1
cortar cortar VMN0000 1
la el DA0FS0 0.897854
cabeça cabeza NCFS000 1
con con SPS00 1
la el DA0FS0 0.897854
espada espada NCFS000 1
, , Fc 1
e e CC 1
dixole decir+le VMIS3S0+PP3CSD00 1
asi así RG 1
: : Fd 1
o o CC 0.99692
, , Fc 1
loco loco NCMS000 0.633608
perdido perder VMPS0SM 0.954545
, , Fc 1
non no RN 0.99968
sabes saber VMIP2S0 1
que que CS 0.351047
yo yo PP1CSN00 1
so ser VSIP1S0 0.426056
rey rey NCMS000 1
de de SPS00 0.999758
los el DA0MP0 0.964169
Griegos griego AQ0MP0 0.954545
, , Fc 1
e e CC 1
tengo tener VMIP1S0 1
el el DA0MS0 0.880831
mundo mundo NCMS000 1
todo todo PI0MS000 0.17236
a a SPS00 0.956937
mandar mandar VMN0000 1
. . Fp 1

Como como CS 0.953008
osaste osar VMIS2S0 1
sallir salir VMN0000 1
a a SPS00 0.956937
pelear pelear VMN0000 1
comigo conmigo PP1CSO00 1
? ? Fit 1
Et et CC 1
alli allí RG 1
respondio responder VMIS3S0 1
Poro poro NCMS000 0.300563
: : Fd 1
pues pues CS 0.99569
me me PP1CS000 1
demandaste demandar VMIS2S0 1
, , Fc 1
conviene convenir VMIP3S0 1
que que CS 0.351047
te te PP2CS000 1
responda responder VMSP1S0 0.567459
. . Fp 1

Bien bien RG 0.963887
se saber VMIP1S0 0.763441
que que CS 0.351047
tu tú PP2CSN00 0.657104
eres ser VSIP2S0 1
fijo hijo NCMS000 1
de de SPS00 0.999758
Jupiter júpiter NP000G0 0.5
, , Fc 1
e e CC 1
eres ser VSIP2S0 1
señor señor NCMS000 0.996183
de de SPS00 0.999758
todas todo DI0FP0 0.958167
las el DA0FP0 0.860393
batallas batalla NCFP000 1
: : Fd 1
mas mas CC 0.345275
ante antes RG 0.619303
que que CS 0.351047
a a SPS00 0.956937
ty ti PP2CSO00 1
viese ver VMSI3S0 0.500089
, , Fc 1
cuydaua cuidar VMII1S0 0.5
que que CS 0.351047
non no RN 0.99968
auia haber VMII3S0 1
omne hombre NCMS000 1
en en SPS00 1
el el DA0MS0 0.880831
mundo mundo NCMS000 1
que que PR0CN000 0.648953
comigo conmigo PP1CSO00 1
osase osar VMSI1S0 0.65
, , Fc 1
nin ni CC 1
pudiese poder VMSI3S0 0.575
lidiar lidiar VMN0000 1
. . Fp 1

E e CC 1
esta este DD0FS0 0.817376
osadia osadía NCFS000 1
me me PP1CS000 1
traxo traer VMIS3S0 1
a a SPS00 0.956937
esta este DD0FS0 0.817376
ventura ventura NCFS000 1
, , Fc 1
mas mas CC 0.345275
dote dote NCFS000 0.67885
por por SPS00 1
consejo consejo NCMS000 0.637326
que que PR0CN000 0.648953
tu tú PP2CSN00 0.657104
cayas caer VMSP2S0 1
en en SPS00 1
esta este DD0FS0 0.817376
presunçion presunción NCFS000 1
, , Fc 1
que que CS 0.351047
un uno DI0MS0 0.930636
fuerte fuerte AQ0CS0 1
puede poder VMIP3S0 0.960993
fallar fallar VMN0000 0.5
a a SPS00 0.956937
otro otro DI0MS0 0.361878
fuerte fuerte AQ0CS0 1
mas mas CC 0.345275
que que CS 0.351047
si si CS 0.944444
. . Fp 1

Et et CC 1
toma toma NCFS000 0.846154
exenplo ejemplo NCMS000 1
de de SPS00 0.999758
mi mi DP1CSS 0.879781
. . Fp 1

E e CC 1
quando cuándo PT000000 1
vio ver VMIS3S0 1
Alixandre alejandro NP000P0 1
que que CS 0.351047
la el DA0FS0 0.897854
osadia osadía NCFS000 1
le le PP3CSD00 1
daua dar VMII1S0 0.5
coraçon corazón NCMS000 1
de de SPS00 0.999758
rey rey NCMS000 1
e e CC 1
de de SPS00 0.999758
noble noble AQ0CS0 0.996894
omne hombre NCMS000 1
, , Fc 1
dixo decir VMIS3S0 1
: : Fd 1
yo yo PP1CSN00 1
te te PP2CS000 1
perdono perdonar VMIS3S0 0.65
la el DA0FS0 0.897854
muerte muerte NCFS000 1
, , Fc 1
e e CC 1
tomolo tomar+lo VMIS3S0+PP3CNa00 0.295033 tomar+lo VMIS3S0+PP3MSa00 0.295033
consigo consigo PP3CNO00 0.65625
, , Fc 1
e e CC 1
leuolo levar+lo VMIS3S0+PP3CNa00 0.295033 levar+lo VMIS3S0+PP3MSa00 0.295033
en en SPS00 1
muy muy RG 1
grant grande AQ0CS0 1
onrra honra NCFS000 0.962264
, , Fc 1
e e CC 1
mandolo mandar+lo VMIS3S0+PP3CNa00 0.295033 mandar+lo VMIS3S0+PP3MSa00 0.295033
guareçer guarecer VMN0000 1
de de SPS00 0.999758
las el DA0FP0 0.860393
feridas herida NCFP000 0.478261
que que PR0CN000 0.648953
tenia tener VMII1S0 0.5
, , Fc 1
e e CC 1
fizole hacer+le VMIS3S0+PP3CSD00 1
su su DP3CS0 1
alferez alférez NCCS000 1
. . Fp 1

E e CC 1
alli allí RG 1
Poro poro_por+poro_o SP+RG 0.698875
besole besar+le VMIP1S0+PP3CSD00 0.522805
la el DA0FS0 0.897854
mano mano NCFS000 0.953125
, , Fc 1
e e CC 1
fizole hacer+le VMIS3S0+PP3CSD00 1
su su DP3CS0 1
vasallo vasallo NCMS000 0.633609
, , Fc 1
e e CC 1
dexole dejar+le VMIP1S0+PP3CSD00 0.522805
toda todo DI0FS0 0.949029
la el DA0FS0 0.897854
tierra tierra NCFS000 1
que que PR0CN000 0.648953
tenia tener VMII1S0 0.5
, , Fc 1
e e CC 1
acreçentole acrecentar+le VMIS3S0+PP3CSD00 1
mas más RG 0.654277
en en SPS00 1
su su DP3CS0 1
ynperio imperio NCMS000 1
de de SPS00 0.999758
lo el DA0NS0 0.30297
que que PR0CN000 0.648953
tenia tener VMII1S0 0.5
. . Fp 1

En en SPS00 1
aquella aquel DD0FS0 0.704678
fazienda facienda NCFS000 0.512121
, , Fc 1
mataron matar VMIS3P0 1
el el DA0MS0 0.880831
su su DP3CS0 1
cauallo caballo NCMS000 1
de de SPS00 0.999758
Alixandre alejandro NP000P0 1
, , Fc 1
que que PR0CN000 0.648953
llamauan llamar VMII3P0 1
Buçifal bucifal NP000P0 1
, , Fc 1
e e CC 1
fue ser VSIS3S0 0.93672
este este DD0MS0 0.93323
tan tan RG 1
noble noble AQ0CS0 0.996894
cauallo caballo NCMS000 1
, , Fc 1
que que PR0CN000 0.648953
dizia decir VMII3S0 0.649999
que que CS 0.351047
para para SPS00 0.988789
tan tan RG 1
noble noble AQ0CS0 0.996894
Rey rey NCMS000 1
pertenesçia pertenecer VMII3S0 0.647618
tan tan RG 1
grant grande AQ0CS0 1
cauallo caballo NCMS000 1
, , Fc 1
que que PR0CN000 0.648953
non no RN 0.99968
auia haber VMII3S0 1
otro otro DI0MS0 0.361878
tal tal PD0CS000 0.223757
en en SPS00 1
el el DA0MS0 0.880831
mundo mundo NCMS000 1
. . Fp 1

E e CC 1
mager maguer CS 1
estudiese estar VASI1S0 0.5
todo todo RG 0.0791925
abierto abrir VMPS0SM 0.357143
con con SPS00 1
dardos dardo NCMP000 1
e e CC 1
con con SPS00 1
lanças lanza NCFP000 0.749011
e e CC 1
con con SPS00 1
saetas saeta NCFP000 1
que que PR0CN000 0.648953
estauan estar VAII3P0 1
espesas espeso AQ0FP0 0.26
en en SPS00 1
el el DA0MS0 0.880831
como como CS 0.953008
espigas espiga NCFP000 0.75526
en en SPS00 1
el el DA0MS0 0.880831
erizo erizo NCMS000 1
, , Fc 1
enpero empero CC 1
nunca nunca RG 1
quiso querer VMIS3S0 1
derribarse derribar+se VMN0000+PP3CN000 1
fasta hasta SP 0.99505
que que PR0CN000 0.648953
deçendio descender VMIS3S0 1
del del_de+del_el SP+DA 0.5
Alixandre alejandro NP000P0 1
. . Fp 1

Et et CC 1
por por SPS00 1
ende ende RG 1
, , Fc 1
Alixandre alejandro NP000P0 1
mando mandar VMIP1S0 0.496933
alli allí RG 1
fazer hacer VMN0000 1
una uno DI0FS0 0.763441
çibdat ciudad NCFS000 1
muy muy RG 1
noble noble AQ0CS0 0.996894
que que PR0CN000 0.648953
el él PP3MS000 0.119169
nonbro nombrar VMIS3S0 0.649949
el el DA0MS0 0.880831
nonbre nombre NCMS000 0.968
de de SPS00 0.999758
su su DP3CS0 1
cauallo caballo NCMS000 1
, , Fc 1
et et CC 1
despues después RG 1
que que CS 0.351047
todo todo DI0MS0 0.746894
el el DA0MS0 0.880831
mundo mundo NCMS000 1
ouo haber VAIS3S0 1
sojudgado sojuzgar VMPS0SM 1
, , Fc 1
penso pensar VMIS3S0 1
de de SPS00 0.999758
pasar pasar VMN0000 1
a a SPS00 0.956937
los el DA0MP0 0.964169
Antipodes antípoda NP000G0 0.5
. . Fp 1

Capitulo capítulo NCMS000 1
·xxiii· ·xxiii· VMG0000 0.00949592
en en SPS00 1
qual cuál DT0CS0 1
manera manera NCFS000 1
se se PP3CN000 0.0107527
deue deber VMIP3S0 0.993174
fazer hacer VMN0000 1
la el DA0FS0 0.897854
naue nave NCFS000 1
, , Fc 1
e e CC 1
en en SPS00 1
qual cuál DT0CS0 1
manera manera NCFS000 1
deuen deber VMIP3P0 1
acometer acometer VMN0000 1
la el DA0FS0 0.897854
batalla batalla NCFS000 1
, , Fc 1
e e CC 1
a a SPS00 0.956937
que que PR0CN000 0.648953
son ser VSIP3P0 0.987239
ordenadas ordenar VMPS0PF 0.15
todas todo DI0FP0 0.958167
las el DA0FP0 0.860393
batallas batalla NCFP000 1
. . Fp 1

En en SPS00 1
el el DA0MS0 0.880831
xx 20 Z 1
iii° iii° NCMS000 0.175279
capitulo capítulo NCMS000 1
, , Fc 1
demuestra demostrar VMIP3S0 0.916667
en en SPS00 1
qual cuál DT0CS0 1
manera manera NCFS000 1
se se PP3CN000 0.0107527
deue deber VMIP3S0 0.993174
fazer hacer VMN0000 1
la el DA0FS0 0.897854
naue nave NCFS000 1
, , Fc 1
e e CC 1
en en SPS00 1
qual cuál DT0CS0 1
manera manera NCFS000 1
deuen deber VMIP3P0 1
acometer acometer VMN0000 1
la el DA0FS0 0.897854
batalla batalla NCFS000 1
, , Fc 1
e e CC 1
a a SPS00 0.956937
que que PR0CN000 0.648953
son ser VSIP3P0 0.987239
ordenadas ordenar VMPS0PF 0.15
todas todo DI0FP0 0.958167
las el DA0FP0 0.860393
batallas batalla NCFP000 1
, , Fc 1
muchas mucho PI0FP000 0.163462
de de SPS00 0.999758
las el DA0FP0 0.860393
cosas cosa NCFP000 1
sobredichas sobredicho AQ0FP0 1
valen valer VMIP3P0 1
en en SPS00 1
como como CS 0.953008
se saber VMIP1S0 0.763441
ha haber VMIP3S0 0.633634
de de SPS00 0.999758
fazer hacer VMN0000 1
la el DA0FS0 0.897854
batalla batalla NCFS000 1
de de SPS00 0.999758
la el DA0FS0 0.897854
mar mar NCCS000 1
. . Fp 1

Et et CC 1
por por SPS00 1
ende ende RG 1
, , Fc 1
non no RN 0.99968
conviene convenir VMIP3S0 1
de de SPS00 0.999758
mucho mucho RG 0.930013
prolongar prolongar VMN0000 1
, , Fc 1
fablando hablar VMG0000 1
desta desta_de+desta_este SP+DD 1
batalla batalla NCFS000 1
, , Fc 1
mas mas CC 0.345275
solamente solamente RG 1
nos me PP1CP000 0.5
conviene convenir VMIP3S0 1
saber saber VMN0000 0.665563
tres 3 Z 0.280029
cosas cosa NCFP000 1
. . Fp 1

La el DA0FS0 0.897854
primera 1 AO0FS0 0.70892
, , Fc 1
en en SPS00 1
como como CS 0.953008
se saber VMIP1S0 0.763441
ha haber VMIP3S0 0.633634
de de SPS00 0.999758
fazer hacer VMN0000 1
la el DA0FS0 0.897854
naue nave NCFS000 1
para para SPS00 0.988789
ser ser VSN0000 0.969613
buena bueno AQ0FS0 1
e e CC 1
rezia recio AQ0FS0 1
para para SPS00 0.988789
la el DA0FS0 0.897854
batalla batalla NCFS000 1
. . Fp 1

Do donde PR000000 0.984536
conviene convenir VMIP3S0 1
de de SPS00 0.999758
saber saber VMN0000 0.665563
dos 2 Z 0.994169
cosas cosa NCFP000 1
segunt según SPS00 0.990196
que que PR0CN000 0.648953
dize decir VMIP3S0 1
Vejeçio vegecio NP000P0 1
. . Fp 1

La el DA0FS0 0.897854
primera 1 AO0FS0 0.70892
es ser VSIP3S0 1
que que CS 0.351047
la el DA0FS0 0.897854
madera madera NCFS000 0.815407
donde donde PR000000 0.987805
se saber VMIP1S0 0.763441
ha haber VMIP3S0 0.633634
de de SPS00 0.999758
fazer hacer VMN0000 1
la el DA0FS0 0.897854
naue nave NCFS000 1
non no RN 0.99968
se saber VMIP1S0 0.763441
deue deber VMIP3S0 0.993174
cortar cortar VMN0000 1
en en SPS00 1
todo todo DI0MS0 0.746894
tienpo tiempo NCMS000 1
. . Fp 1

Ca ca CS 0.982082
en en SPS00 1
março marzo NCMS000 1
nin ni CC 1
en en SPS00 1
abril abril NCMS000 1
en en SPS00 1
que que PR0CN000 0.648953
ha haber VMIP3S0 0.633634
grant grande AQ0CS0 1
humor humor NCMS000 1
en en SPS00 1
los el DA0MP0 0.964169
arvoles arvoles NCMP000 1
non no RN 0.99968
se saber VMIP1S0 0.763441
deue deber VMIP3S0 0.993174
tajar tajar VMN0000 1
la el DA0FS0 0.897854
madera madera NCFS000 0.815407
para para SPS00 0.988789
la el DA0FS0 0.897854
naue nave NCFS000 1
, , Fc 1
mas más RG 0.654277
deue deber VMIP3S0 0.993174
cortar cortar VMN0000 1
en en SPS00 1
jullio julio NCMS000 0.711823
o o CC 0.99692
en en SPS00 1
agosto agosto NCMS000 1
, , Fc 1
en en SPS00 1
qual cuál DT0CS0 1
tienpo tiempo NCMS000 1
en en SPS00 1
que que PR0CN000 0.648953
menos menos RG 1
vmedat humedad NCFS000 1
ha haber VMIP3S0 0.633634
en en SPS00 1
la el DA0FS0 0.897854
madera madera NCFS000 0.815407
e e CC 1
los el DA0MP0 0.964169
arvoles arvoles NCMP000 1
estan estar VAIP3P0 1
mas más RG 0.654277
secos seco AQ0MP0 1
. . Fp 1

Lo el DA0NS0 0.30297
ii° ii° NCMS000 0.175279
es ser VSIP3S0 1
que que CS 0.351047
cortos corto AQ0MP0 1
los el DA0MP0 0.964169
maderos madero NCMP000 1
, , Fc 1
non no RN 0.99968
se saber VMIP1S0 0.763441
deue deber VMIP3S0 0.993174
luego luego RG 0.905405
fazer hacer VMN0000 1
la el DA0FS0 0.897854
naue nave NCFS000 1
, , Fc 1
mas mas CC 0.345275
aun aun RG 1
deuenlos deber+lo VMIP3P0+PP3MPA00 1
dexar dejar VMN0000 1
secar secar VMN0000 1
, , Fc 1
e e CC 1
despues después RG 1
aserrarlos aserrar+lo VMN0000+PP3MPA00 1
en en SPS00 1
tablas tabla NCFP000 1
, , Fc 1
e e CC 1
dexarlos dejar+lo VMN0000+PP3MPA00 1
grant grande AQ0CS0 1
tienpo tiempo NCMS000 1
secar secar VMN0000 1
, , Fc 1
ca ca CS 0.982082
asi así RG 1
estando estar VAG0000 1
secos seco AQ0MP0 1
los el DA0MP0 0.964169
maderos madero NCMP000 1
, , Fc 1
si si CS 0.944444
se se PP3CN000 0.0107527
fiziese hacer VMSI3S0 0.649972
la el DA0FS0 0.897854
naue nave NCFS000 1
quando cuándo PT000000 1
despues después RG 1
fuesen ser VSSI3P0 0.954545
secos seco AQ0MP0 1
, , Fc 1
fazerse hacer+se VMN0000+PP3CN000 1
yan haber VMII3P0 0.819588
grandes grande AQ0CP0 0.996795
aberturas abertura NCFP000 1
en en SPS00 1
ellas ellos PP3FP000 1
, , Fc 1
e e CC 1
esto este PD0NS000 0.983631
seria ser VSIC1S0 0.497758
muy muy RG 1
grant grande AQ0CS0 1
peligro peligro NCMS000 0.846154
, , Fc 1
ca ca CS 0.982082
quando cuándo PT000000 1
ouiesen haber VASI3P0 0.2
a a SPS00 0.956937
lidiar lidiar VMN0000 1
, , Fc 1
tanto tanto RG 0.873267
avrian haber VMIC3P0 0.819588
en en SPS00 1
que que CS 0.351047
çerrar cerrar VMN0000 1
los el DA0MP0 0.964169
forados forado NCMP000 1
, , Fc 1
que que PR0CN000 0.648953
se saber VMIP1S0 0.763441
non no RN 0.99968
podrian poder VMIC3P0 1
defender defender VMN0000 1
de de SPS00 0.999758
los el DA0MP0 0.964169
enemigos enemigo NCMP000 0.65625
. . Fp 1

La el DA0FS0 0.897854
segunda 2 AO0FS0 1
cosa cosa NCFS000 1
, , Fc 1
non no RN 0.99968
conviene convenir VMIP3S0 1
en en SPS00 1
como como CS 0.953008
se saber VMIP1S0 0.763441
ha haber VMIP3S0 0.633634
de de SPS00 0.999758
fazer hacer VMN0000 1
la el DA0FS0 0.897854
batalla batalla NCFS000 1
e e CC 1
la el DA0FS0 0.897854
naue nave NCFS000 1
bien bien RG 0.963887
fecha hacer VMPS0SF 0.813333
e e CC 1
bien bien RG 0.963887
basteçida abastecer VMPS0SF 1
, , Fc 1
mager maguer CS 1
la el DA0FS0 0.897854
batalla batalla NCFS000 1
canpal campal AQ0CS0 1
e e CC 1
de de SPS00 0.999758
la el DA0FS0 0.897854
mar mar NCCS000 1
aya haber VMSP3S0 0.990196
grant grande AQ0CS0 1
semejança semejanza NCFS000 1
, , Fc 1
en en SPS00 1
uno uno PI0MS000 0.905738
cada cada DI0CS0 1
una uno PI0FS000 0.11828
della della_de+della_el SP+DA 0.5
deuen deber VMIP3P0 1
yr ir VMN0000 1
los el DA0MP0 0.964169
lidiadores lidiador NCMP000 1
muy muy RG 1
armados armar VMPS0PM 1
et et CC 1
saberse saber+se VMN0000+PP3CN000 1
bien bien RG 0.963887
cobryr cubrir VMN0000 1
de de SPS00 0.999758
los el DA0MP0 0.964169
golpes golpe NCMP000 1
, , Fc 1
enpero empero CC 1
la el DA0FS0 0.897854
batalla batalla NCFS000 1
de de SPS00 0.999758
la el DA0FS0 0.897854
mar mar NCCS000 1
deuen deber VMIP3P0 1
ser ser VSN0000 0.969613
los el DA0MP0 0.964169
marineros marinero NCMP000 0.633609
mas más RG 0.654277
armados armar VMPS0PM 1
por por SPS00 1
que que PR0CN000 0.648953
puedan poder VMSP3P0 0.916667
mejor mejor AQ0CS0 0.983871
sofryr sufrir VMN0000 1
el el DA0MS0 0.880831
peso peso NCMS000 0.601259
de de SPS00 0.999758
las el DA0FP0 0.860393
armas arma NCFP000 0.987805
, , Fc 1
ca ca CS 0.982082
estan estar VAIP3P0 1
en en SPS00 1
un uno DI0MS0 0.930636
lugar lugar NCMS000 1
, , Fc 1
e e CC 1
non no RN 0.99968
se saber VMIP1S0 0.763441
mueuen mover VMIP3P0 1
como como CS 0.953008
los el DA0MP0 0.964169
otros otro PI0MP000 0.347561
. . Fp 1

E e CC 1
aun aun RG 1
porque porque CS 0.996454
la el DA0FS0 0.897854
batalla batalla NCFS000 1
de de SPS00 0.999758
la el DA0FS0 0.897854
mar mar NCCS000 1
es ser VSIP3S0 1
mas más RG 0.654277
peligros peligro NCMP000 1
que que CS 0.351047
de de SPS00 0.999758
la el DA0FS0 0.897854
tierra tierra NCFS000 1
. . Fp 1

Et et CC 1
quando cuándo PT000000 1
a a SPS00 0.956937
esta este DD0FS0 0.817376
batalla batalla NCFS000 1
de de SPS00 0.999758
la el DA0FS0 0.897854
mar mar NCCS000 1
, , Fc 1
han haber VAIP3P0 0.97619
de de SPS00 0.999758
menester menester NCMS000 1
los el DA0MP0 0.964169
lidiadores lidiador NCMP000 1
diez 10 Z 0.666667
cosas cosa NCFP000 1
para para SPS00 0.988789
bien bien RG 0.963887
lidiar lidiar VMN0000 1
. . Fp 1

Lo el DA0NS0 0.30297
primero 1 AO0MS0 0.73057
, , Fc 1
han haber VAIP3P0 0.97619
menester menester NCMS000 1
fuego fuego NCMS000 1
de de SPS00 0.999758
alquitran alquitrán NCMS000 1
, , Fc 1
ca ca CS 0.982082
convieneles convenir+le VMIP3S0+PP3CPD00 1
de de SPS00 0.999758
auer haber VMN0000 0.703704
muchos mucho DI0MP0 0.876506
orcos orcos NCMP000 1
llenos lleno AQ0MP0 0.602047
de de SPS00 0.999758
pez pez NCFS000 0.649999
e e CC 1
de de SPS00 0.999758
piedra piedra NCFS000 1
sufre azufre NCMS000 0.781567
, , Fc 1
e e CC 1
de de SPS00 0.999758
regina reina NCFS000 0.409282
, , Fc 1
e e CC 1
de de SPS00 0.999758
olio óleo NCMS000 1
, , Fc 1
que que CS 0.351047
este este PD0MS000 0.0636646
todo todo RG 0.0791925
enbuelto envolver VMPS0SM 1
, , Fc 1
e e CC 1
con con SPS00 1
esta este DD0FS0 0.817376
pez pez NCFS000 0.649999
quando cuándo PT000000 1
vinieren venir VMSF3P0 1
a a SPS00 0.956937
la el DA0FS0 0.897854
batalla batalla NCFS000 1
deuenlos deber+lo VMIP3P0+PP3MPA00 1
ençender encender VMN0000 1
e e CC 1
lançar lanzar VMN0000 1
en en SPS00 1
la el DA0FS0 0.897854
naua nava NCFS000 0.711822
de de SPS00 0.999758
los el DA0MP0 0.964169
enemigos enemigo NCMP000 0.65625
. . Fp 1

E e CC 1
asi así RG 1
quebraran quebrar VMIF3P0 0.672795
e e CC 1
ençenderan encender VMIF3P0 1
la el DA0FS0 0.897854
naue nave NCFS000 1
, , Fc 1
e e CC 1
quando cuándo PT000000 1
echaren echar VMSF3P0 1
el el DA0MS0 0.880831
fuego fuego NCMS000 1
, , Fc 1
entonçes entonces RG 0.912499
deuen deber VMIP3P0 1
brauamente brauamente RG 0.5
lidiar lidiar VMN0000 1
, , Fc 1
por por SPS00 1
que que CS 0.351047
lo lo PP3CNa00 0.348232
non no RN 0.99968
puedan poder VMSP3P0 0.916667
matar matar VMN0000 1
. . Fp 1

Lo el DA0NS0 0.30297
segundo 2 AO0MS0 1
, , Fc 1
han haber VAIP3P0 0.97619
de de SPS00 0.999758
menester menester NCMS000 1
poner poner VMN0000 1
çeladas celada NCFP000 0.633609
, , Fc 1
por por SPS00 1
que que CS 0.351047
fieran herir VMSP3P0 1
a a SPS00 0.956937
desora deshora NCFS000 1
sobre sobre SPS00 0.945175
los el DA0MP0 0.964169
enemigos enemigo NCMP000 0.65625
, , Fc 1
asi así RG 1
en en SPS00 1
la el DA0FS0 0.897854
mar mar NCCS000 1
se ser VSM02S0 0.225806
ponen poner VMIP3P0 1
en en SPS00 1
pos pos SPS00 1
de de SPS00 0.999758
algunas alguno DI0FP0 0.990196
yslas isla NCFP000 1
, , Fc 1
por por SPS00 1
que que CS 0.351047
puedan poder VMSP3P0 0.916667
a a SPS00 0.956937
desora deshora NCFS000 1
venir venir VMN0000 1
e e CC 1
dar dar VMN0000 1
sobre sobre SPS00 0.945175
las el DA0FP0 0.860393
naues nave NCFP000 1
de de SPS00 0.999758
los el DA0MP0 0.964169
enemigos enemigo NCMP000 0.65625
. . Fp 1

Lo el DA0NS0 0.30297
iii° iii° NCMS000 0.175279
, , Fc 1
deuen deber VMIP3P0 1
los el DA0MP0 0.964169
marineros marinero NCMP000 0.633609
lançarse lanzar+se VMN0000+PP3CN000 1
a a SPS00 0.956937
lo lo PP3CNa00 0.348232
mas mas CC 0.345275
fondo fondo NCMS000 1
de de SPS00 0.999758
la el DA0FS0 0.897854
mar mar NCCS000 1
, , Fc 1
asi así RG 1
que que CS 0.351047
puedan poder VMSP3P0 0.916667
las el DA0FP0 0.860393
naues nave NCFP000 1
de de SPS00 0.999758
los el DA0MP0 0.964169
enemigos enemigo NCMP000 0.65625
enpuxar empujar VMN0000 1
a a SPS00 0.956937
la el DA0FS0 0.897854
tierra tierra NCFS000 1
o o CC 0.99692
a a SPS00 0.956937
las el DA0FP0 0.860393
riberas ribera NCFP000 1
, , Fc 1
por por SPS00 1
que que CS 0.351047
pierdan perder VMSP3P0 0.970833
la el DA0FS0 0.897854
virtud virtud NCFS000 1
de de SPS00 0.999758
marear marear VMN0000 1
